createdat,createdby,modifiedat,modifiedby,codigo,codigoplancuenta,areafuncional_codigo,descripcion,grupoplancuenta_codigo,moneda_code,pospresupestaria,tipo,sociedadfi_codigo,tipocuenta,clasecosto,regla,esquema,historico
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1110505001,PUCA,"",Caja Menor,C111,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1110505002,PUCA,"",Reposición Caja Menor,C111,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1110505003,PUCA,"",Fondo Jhonny Muslito,C111,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1110505004,PUCA,"",Reposicion  Jhonny Muslito,C111,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1110505005,PUCA,"",Tarjetas de crédito en transito,C111,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505100,PUCA,"",Occidente Cta. 11-401-000081-6 Real,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505101,PUCA,"",Occidente Cta. 11-401-000081-6 Deposito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505102,PUCA,"",Occidente Cta. 11-401-000081-6 Cheque,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505103,PUCA,"",Occidente Cta. 11-401-000081-6 Nota De Debito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505104,PUCA,"",Occidente Cta. 11-401-000081-6 Nota De Credito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505110,PUCA,"",Occidente Cta. 11-401-000228-2 Real,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505111,PUCA,"",Occidente Cta. 11-401-000228-2 Deposito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505112,PUCA,"",Occidente Cta. 11-401-000228-2 Cheque,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505113,PUCA,"",Occidente Cta. 11-401-000228-2 Nota De Debito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505114,PUCA,"",Occidente Cta. 11-401-000228-2 Nota De Credito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505120,PUCA,"",Occidente Cta. Ahorro 21-401-159583-6 Real,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505121,PUCA,"",Occidente Cta. Ahorro 21-401-159583-6 Deposito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505122,PUCA,"",Occidente Cta. Ahorro 21-401-159583-6 Cheque,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505123,PUCA,"",Occidente Cta. Ahorro 21-401-159583-6 Nota Debito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505124,PUCA,"",Occidente Cta Ahorro 21-401-159583-6 Nota Credito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505130,PUCA,"",Occidente Cta. Ahorro 21-201-055747-0 Real,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505131,PUCA,"",Occidente Cta. Ahorro 21-201-055747-0 Deposito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505132,PUCA,"",Occidente Cta. Ahorro 21-201-055747-0 Cheque,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505133,PUCA,"",Occidente Cta. Ahorro 21-201-055747-0 Nota Debito,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505134,PUCA,"",Occidente Cta Ahorro 21-201-055747-0 Nota De Credi,B112,HNL,"",,1000,X,"","","",t
2025-08-27 22:33:21.253,DBULNES,2025-08-27 22:33:21.253,DBULNES,1120505140,PUCA,"",Occidente Cta. Ahorro 21-401-101001-3 Real,B112,HNL,"",,1000,X,"","","",t
